Solutions, theta1, theta2, theta3, theta4, theta5, theta6
1, -7.447091+26.021219i , 10.726876-77.837834i , 129.343135+38.635363i , -83.228837+34.263516i , 17.738242-84.770096i , -16.514192+66.891805i 
2, -7.447091-26.021219i , 10.726876+77.837834i , 129.343135-38.635363i , -83.228837-34.263516i , 17.738242+84.770096i , -16.514192-66.891805i 
3, 46.778569+60.090701i , 172.530436-139.444965i , -119.362842+6.014207i , -70.150536+43.328590i , 91.522100+149.379544i , -29.137256-124.989746i 
4, 46.778569-60.090701i , 172.530436+139.444965i , -119.362842-6.014207i , -70.150536-43.328590i , 91.522100-149.379544i , -29.137256+124.989746i 
5, 53.644614+6.493220i , -96.181129-20.010084i , 81.863248+23.333140i , 18.039951-15.904169i , -32.861250+48.097248i , -2.663181-37.055822i 
6, 53.644614-6.493220i , -96.181129+20.010084i , 81.863248-23.333140i , 18.039951+15.904169i , -32.861250-48.097248i , -2.663181+37.055822i 
7, 30.073787+61.977594i , -43.491823-226.316806i , -147.461201+113.667431i , -39.251543-9.875192i , -68.978477+236.039977i , -2.945230-145.602807i 
8, 30.073787-61.977594i , -43.491823+226.316806i , -147.461201-113.667431i , -39.251543+9.875192i , -68.978477-236.039977i , -2.945230+145.602807i 
9, 13.109881-0.000000i , 50.992641+0.000000i , -72.044721+0.000000i , 72.065198+0.000000i , -7.195753-0.000000i , -37.852729-0.000000i 
10, 14.000158-0.000000i , 29.699750+0.000000i , -45.000135+0.000000i , 71.000293+0.000000i , -63.000511-0.000000i , 10.000427-0.000000i 
11, 135.784576-32.325983i , -166.853567-20.425520i , 35.619166+98.868493i , 20.724385-54.017487i , 21.570217+58.569060i , -77.237621-26.903715i 
12, 135.784576+32.325983i , -166.853567+20.425520i , 35.619166-98.868493i , 20.724385+54.017487i , 21.570217-58.569060i , -77.237621+26.903715i 
13, 143.837518+24.025385i , -127.573842-109.259868i , -5.850783+151.453158i , 150.374731-79.834137i , -117.225415-166.343027i , -30.592746+133.833072i 
14, 143.837518-24.025385i , -127.573842+109.259868i , -5.850783-151.453158i , 150.374731+79.834137i , -117.225415+166.343027i , -30.592746-133.833072i 
15, 166.725319-130.299935i , 153.483853-18.964268i , -20.026062+153.923205i , 36.398407-156.214565i , -164.287227-89.824859i , 15.830292+130.481328i 
16, 166.725319+130.299935i , 153.483853+18.964268i , -20.026062-153.923205i , 36.398407+156.214565i , -164.287227+89.824859i , 15.830292-130.481328i 
