Solutions, theta1, theta2, theta3, theta4, theta5, theta6
1, -97.741460+0.000000i , -6.383715+0.000000i , -179.636108+0.000000i , 37.497382+0.000000i , 53.605872+0.000000i , -38.015916+0.000000i 
2, -125.054088+0.000000i , 172.690019-0.000000i , -179.253962+0.000000i , 29.540277+0.000000i , -147.792711+0.000000i , 144.444506-0.000000i 
3, 88.633260-0.000000i , -176.307506+0.000000i , -177.433374+0.000000i , -61.443685+0.000000i , 156.732804+0.000000i , 141.698923-0.000000i 
4, 110.961733-0.000000i , 4.791049+0.000000i , -177.655725+0.000000i , -54.919613+0.000000i , -62.525066+0.000000i , -41.625391+0.000000i 
5, -179.827518+0.000000i , 109.791608-0.000000i , -149.142923+0.000000i , -5.374942+0.000000i , -165.420033+0.000000i , -179.187497+0.000000i 
6, 166.993229-0.000000i , -106.393299+0.000000i , 147.955224+0.000000i , -16.385665+0.000000i , -172.486508+0.000000i , 100.681759-0.000000i 
7, -14.000418+0.000000i , -104.000142+0.000000i , -115.999871+0.000000i , 2.000341+0.000000i , 7.999840+0.000000i , -78.000000+0.000000i 
8, 0.628010-0.000000i , 107.294967-0.000000i , 113.353783+0.000000i , -10.704706+0.000000i , 0.751789+0.000000i , 1.852587-0.000000i 
9, 0.626707+0.000000i , 107.294753+0.000000i , -66.646019+0.000000i , -169.296279+0.000000i , 179.248076+0.000000i , -178.147362+0.000000i 
10, -13.999121+0.000000i , -104.000364+0.000000i , 64.000407+0.000000i , 178.000604+0.000000i , 172.000194+0.000000i , 101.999988-0.000000i 
11, 166.993249+0.000000i , -106.393304+0.000000i , -32.044652+0.000000i , -163.614350+0.000000i , -7.513479+0.000000i , -79.318295+0.000000i 
12, -179.827498+0.000000i , 109.791613-0.000000i , 30.857114+0.000000i , -174.625073+0.000000i , -14.579961+0.000000i , 0.812392+0.000000i 
13, -97.741479+0.000000i , -6.382837+0.000000i , 0.363427+0.000000i , 142.502622+0.000000i , 126.394110+0.000000i , 141.984499-0.000000i 
14, -125.054091+0.000000i , 172.690002-0.000000i , 0.745804+0.000000i , 150.459723+0.000000i , -32.207285+0.000000i , -35.555745+0.000000i 
15, 88.633268-0.000000i , -176.307784+0.000000i , 2.567289+0.000000i , -118.556313+0.000000i , 23.267184+0.000000i , -38.300694+0.000000i 
16, 110.961726-0.000000i , 4.790313+0.000000i , 2.344756+0.000000i , -125.080381+0.000000i , -117.474951+0.000000i , 138.374354-0.000000i 
