Solutions, theta1, theta2, theta3, theta4, theta5, theta6
1, 17.195525+0.537026i , -39.927076+0.119112i , 147.720576+5.832271i , 173.691484+25.048691i , 178.178436-6.421624i , -40.329403-20.952380i 
2, 17.195525-0.537026i , -39.927076-0.119112i , 147.720576-5.832271i , 173.691484-25.048691i , 178.178436+6.421624i , -40.329403+20.952380i 
3, -4.997622+0.000000i , -40.029457-0.000000i , 149.723737+0.000000i , 2.337083+0.000000i , -176.300889+0.000000i , 105.837597-0.000000i 
4, -4.718912+0.000000i , -40.086889+0.000000i , 147.251941+0.000000i , 13.328198+0.000000i , -179.234651+0.000000i , 96.802542-0.000000i 
5, -149.269951+4.234778i , 137.436089+2.698895i , 137.978228+32.434034i , 8.545541-92.583432i , 2.561951+80.807264i , -25.545062-87.383308i 
6, -149.269951-4.234778i , 137.436089-2.698895i , 137.978228-32.434034i , 8.545541+92.583432i , 2.561951-80.807264i , -25.545062+87.383308i 
7, 153.564759-3.590469i , 137.607286+2.409515i , 136.384196+33.130419i , 173.099391+93.143292i , -2.143812-81.403328i , 82.081168+88.868749i 
8, 153.564759+3.590469i , 137.607286-2.409515i , 136.384196-33.130419i , 173.099391-93.143292i , -2.143812+81.403328i , 82.081168-88.868749i 
9, 33.930636-3.398214i , 42.813576+2.210516i , 43.253368+32.311336i , -173.261803+91.831311i , 2.080024-81.035938i , -24.160911+87.382283i 
10, 33.930636+3.398214i , 42.813576-2.210516i , 43.253368-32.311336i , -173.261803-91.831311i , 2.080024+81.035938i , -24.160911-87.382283i 
11, -23.179275+4.136183i , 42.213560+2.773776i , 42.774001+33.363047i , -8.125557-93.705233i , -2.480153+81.310267i , 84.112882-88.978747i 
12, -23.179275-4.136183i , 42.213560-2.773776i , 42.774001-33.363047i , -8.125557+93.705233i , -2.480153-81.310267i , 84.112882+88.978747i 
13, 171.857537+0.225465i , -139.938349+0.045126i , 31.740113+2.177929i , -172.916440+9.660758i , -177.984360-2.556218i , 98.936692-7.981072i 
14, 171.857537-0.225465i , -139.938349-0.045126i , 31.740113-2.177929i , -172.916440-9.660758i , -177.984360+2.556218i , 98.936692+7.981072i 
15, -166.179157-0.629668i , -140.169791+0.139320i , 31.567109+5.065920i , -8.598424-22.002257i , 177.556300+5.613628i , -41.042947+18.244371i 
16, -166.179157+0.629668i , -140.169791-0.139320i , 31.567109-5.065920i , -8.598424+22.002257i , 177.556300-5.613628i , -41.042947-18.244371i 
